frame_number,apex x,apex y,ruler 0 mm x,ruler 0 mm y,ruler 20 mm x,ruler 20 mm y
0,319,238,352,342,381,339
1,319,238,352,342,381,339
2,320,238,352,342,381,339
3,320,237,352,342,381,339
4,321,237,352,342,381,339
5,321,237,352,342,381,339
6,322,237,352,342,381,339
7,322,237,352,342,381,339
8,322,236,352,342,381,339
9,321,236,352,342,381,339
10,321,235,352,342,381,339
11,320,235,352,342,381,339
12,320,234,352,342,381,339
13,319,234,352,342,381,339
14,319,233,352,342,381,339
15,319,233,352,342,380,339
16,319,233,352,342,380,339
17,319,233,352,342,380,339
18,318,232,352,342,380,339
19,318,232,352,343,380,339
20,318,232,352,343,380,339
21,317,232,352,343,380,339
22,317,232,353,343,380,339
23,316,231,353,343,380,339
24,315,231,353,343,380,339
25,315,231,353,343,380,339
26,313,231,353,343,380,339
27,312,231,353,343,380,339
28,311,231,353,343,380,339
29,310,231,353,343,380,339
30,309,231,353,343,380,339
31,308,231,353,343,380,339
32,307,231,353,343,380,339
33,307,231,353,343,380,339
34,307,231,353,343,380,339
35,307,231,353,343,380,339
36,307,231,353,343,380,339
37,308,231,353,343,380,339
38,308,230,353,343,380,339
39,309,230,353,343,380,339
40,309,230,353,343,380,339
41,310,230,353,343,380,339
42,311,230,353,343,380,339
43,312,230,353,343,380,339
44,312,230,353,343,380,339
45,313,230,353,343,380,339
46,313,230,353,343,380,339
47,314,230,353,343,380,339
48,314,230,353,343,380,339
49,314,230,353,343,380,339
50,314,230,353,343,380,339
51,314,230,353,343,380,339
52,314,230,353,343,380,339
53,314,230,353,343,380,339
54,314,230,353,343,380,339
55,313,230,353,343,380,339
56,313,230,353,343,380,339
57,313,230,353,343,380,339
58,312,230,353,343,380,339
59,312,230,353,343,380,339
60,311,230,353,343,380,339
61,311,230,353,343,380,339
62,311,230,353,343,380,339
63,310,230,353,344,380,339
64,310,230,353,344,380,339
65,309,230,353,344,380,339
66,308,230,353,344,380,339
67,308,230,353,344,380,339
68,308,230,353,344,380,339
69,307,230,353,344,380,339
70,307,230,353,344,380,339
71,307,230,353,344,379,339
72,307,230,353,344,379,339
73,307,230,353,344,379,339
