frame_number,apex x,apex y,ruler 0 mm x,ruler 0 mm y,ruler 20 mm x,ruler 20 mm y
74,307,230,353,344,379,339
75,307,230,353,344,379,339
76,308,230,353,344,379,339
77,308,230,353,344,379,339
78,309,230,353,344,379,339
79,309,230,353,344,379,339
80,310,230,353,344,379,339
81,310,230,353,344,379,339
82,311,230,353,344,379,339
83,311,230,353,344,379,339
84,312,229,353,344,379,339
85,312,229,353,344,379,339
86,312,229,353,344,379,339
87,312,229,353,344,379,339
88,311,229,353,344,379,339
89,311,229,353,344,379,339
90,311,229,353,344,379,339
91,310,229,353,344,379,339
92,310,229,353,344,379,339
93,309,229,353,344,379,339
94,308,229,353,344,379,339
95,308,229,353,345,379,339
96,307,229,353,345,379,339
97,307,229,353,345,379,339
98,307,229,353,345,379,339
99,306,229,353,345,379,339
100,306,229,353,345,379,339
101,306,229,353,345,379,339
102,306,229,353,345,379,339
103,306,229,353,345,379,339
104,306,229,353,345,379,339
105,306,229,353,345,379,339
106,306,229,353,345,379,339
107,306,229,353,345,379,339
108,306,229,353,345,379,339
109,307,229,353,345,379,339
110,307,228,353,345,379,339
111,307,228,354,345,379,339
112,308,228,354,345,379,339
113,308,228,354,345,379,339
114,308,228,354,345,379,339
115,308,227,354,345,379,339
116,308,227,354,345,379,339
117,308,227,354,345,379,339
118,308,227,354,345,379,339
119,308,227,354,345,379,339
120,308,227,354,345,379,339
121,308,227,354,345,379,339
122,308,227,354,345,379,339
123,308,227,354,345,379,339
124,307,228,354,345,379,339
125,307,228,354,345,379,339
126,307,228,354,345,379,339
127,306,228,354,345,379,339
128,306,228,354,345,379,339
129,306,228,354,345,379,339
130,306,227,354,345,379,339
131,306,227,354,345,379,339
132,306,227,354,345,379,339
133,306,227,354,346,379,339
134,306,227,354,346,379,339
135,306,227,354,346,379,339
136,306,227,354,346,379,339
137,306,227,354,346,379,339
138,306,227,354,346,379,339
139,306,226,354,346,379,339
140,306,226,354,346,379,339
141,306,226,354,346,379,339
142,306,226,354,346,379,339
143,306,226,354,346,379,339
144,306,226,354,346,379,339
145,307,226,354,346,379,339
146,307,226,354,346,379,339
147,307,226,354,346,379,339
148,307,226,354,346,379,339
149,307,226,354,346,379,339
150,307,225,354,346,379,339
151,307,225,354,346,379,339
152,307,225,354,346,379,339
153,308,225,354,346,379,339
154,308,225,354,346,379,339
155,308,225,354,346,379,339
156,308,225,354,346,379,339
157,308,225,354,346,379,339
158,308,225,354,346,379,339
159,308,225,354,346,379,339
160,308,225,355,346,379,339
161,308,225,355,346,379,339
162,308,225,355,346,379,339
163,308,225,355,346,379,339
164,308,225,355,346,379,339
165,308,225,355,346,379,339
166,308,225,355,346,379,339
167,307,225,355,346,379,339
168,307,225,355,346,379,339
169,307,225,355,346,379,339
170,306,225,355,346,379,339
171,306,225,355,346,379,339
172,306,225,355,346,379,339
173,305,225,355,346,379,339
174,305,225,355,346,379,339
175,305,225,355,346,379,339
176,305,225,355,346,379,339
177,305,225,355,346,379,339
178,305,225,355,346,379,339
179,306,225,355,346,379,339
180,306,225,355,346,379,339
181,306,224,355,346,379,339
182,306,224,355,346,379,339
183,307,224,355,346,379,339
184,307,224,355,346,379,339
185,308,224,355,346,379,339
186,308,224,355,346,379,339
187,309,224,355,346,379,339
188,309,223,355,346,379,339
189,310,223,355,346,379,339
190,310,223,355,346,379,339
191,311,223,355,346,379,339
192,311,223,355,346,379,339
193,311,223,355,346,379,339
194,311,223,355,346,379,339
195,311,223,355,346,379,339
196,310,223,355,346,379,339
197,310,223,355,346,379,339
198,309,223,355,346,379,339
199,309,223,355,346,379,339
200,308,223,355,346,379,339
201,308,223,355,346,379,339
202,307,223,355,346,379,339
203,307,223,355,346,379,339
204,306,223,355,346,379,339
205,306,223,355,346,379,339
206,306,223,355,346,379,339
207,306,223,355,346,379,339
208,306,223,355,346,379,339
209,306,223,355,346,379,339
210,306,223,355,346,379,339
211,306,223,355,346,379,339
212,306,223,355,346,379,339
213,306,223,355,346,379,339
214,306,223,355,346,379,339
215,307,222,355,346,379,339
216,307,222,355,346,379,339
217,308,222,355,346,379,339
218,308,222,355,346,379,339
219,308,222,355,346,379,339
220,309,222,355,346,379,339
221,309,222,355,346,379,339
222,309,222,355,346,379,339
223,309,221,355,346,379,339
224,310,221,355,346,379,339
225,310,221,355,346,379,339
226,310,221,355,346,379,339
227,310,221,355,346,379,339
228,310,221,355,346,379,339
229,309,221,355,346,379,339
230,309,221,355,346,379,339
231,309,221,355,346,379,339
232,308,221,355,346,379,339
233,308,221,355,346,379,339
234,308,221,355,346,379,339
235,307,221,355,346,379,339
236,307,221,355,346,379,339
237,307,221,355,346,379,339
238,307,221,355,346,379,339
239,307,221,355,346,378,339
240,307,221,355,346,378,339
241,307,221,355,346,378,339
242,307,221,355,346,378,339
243,307,221,355,346,378,339
244,308,221,355,346,378,339
245,308,221,355,346,378,339
246,308,220,355,346,378,339
247,308,220,355,346,378,339
248,308,220,355,346,378,339
249,308,220,355,346,378,339
250,309,220,355,346,378,339
251,309,220,355,346,378,339
252,309,220,355,346,378,339
253,309,220,355,346,378,339
254,309,220,355,346,378,339
255,309,220,355,346,378,339
256,309,220,355,346,378,339
257,309,219,355,346,378,339
258,309,220,355,346,378,339
259,309,220,355,346,378,339
260,309,220,355,346,378,339
261,309,220,355,346,378,339
262,309,219,355,346,378,339
263,309,219,355,346,378,339
264,309,219,355,346,378,339
265,309,219,355,346,378,339
266,309,219,355,346,378,339
267,309,219,355,346,378,339
268,310,219,355,346,378,339
269,310,219,355,346,378,339
270,310,219,355,346,378,339
271,310,219,355,346,378,339
272,310,219,355,346,378,339
273,310,219,355,346,378,339
274,310,219,355,346,378,339
275,309,219,355,346,378,339
276,309,219,355,346,378,339
277,309,219,355,346,378,339
278,309,219,355,346,378,339
279,309,219,355,346,378,339
280,309,219,355,346,378,339
281,309,219,355,346,378,339
282,309,218,355,346,378,339
283,309,218,355,346,378,339
284,309,218,355,346,378,339
285,309,218,355,346,378,339
286,309,218,355,346,378,339
287,310,218,355,346,378,339
288,310,218,355,346,378,339
289,310,218,355,346,378,339
290,310,218,355,346,378,339
291,310,218,355,346,378,339
292,311,218,355,346,378,339
293,311,218,355,346,378,339
294,311,218,355,346,378,339
295,311,218,355,346,378,339
296,311,218,355,346,378,339
297,311,218,355,346,378,339
298,311,218,355,346,378,339
299,311,218,355,346,378,339
300,311,218,355,346,378,339
301,311,218,355,346,378,339
302,311,218,355,346,378,339
303,311,218,355,346,378,339
304,311,218,355,346,378,339
305,311,218,355,346,378,339
306,310,218,355,346,378,339
307,310,218,355,346,378,339
308,310,218,355,346,378,339
309,310,218,355,346,378,339
310,310,218,355,346,378,339
311,310,218,355,346,378,339
312,310,218,355,346,378,339
313,310,218,355,346,378,339
314,310,218,355,346,378,339
315,310,218,355,346,378,339
316,310,218,355,346,378,339
317,310,218,355,346,378,339
318,310,218,355,346,378,339
319,311,218,355,346,378,339
320,311,218,355,346,378,339
321,311,218,355,346,378,339
322,311,218,355,346,378,339
323,312,218,355,346,378,339
324,312,218,355,346,378,339
325,312,218,355,346,378,339
326,312,218,355,346,378,339
327,312,218,356,346,378,339
328,312,218,356,346,378,339
329,312,218,356,346,378,339
330,312,218,356,346,378,339
331,312,218,356,346,378,339
332,311,218,356,346,378,339
333,311,218,356,346,378,339
334,311,218,356,346,378,339
335,311,218,356,346,378,339
336,311,218,356,346,378,339
337,310,218,356,346,378,339
338,310,218,356,346,378,339
339,310,218,356,346,378,339
340,310,218,356,346,378,339
341,310,218,356,346,378,339
342,309,218,356,346,378,339
343,309,218,356,346,378,339
344,309,218,356,346,378,339
345,309,218,356,346,378,339
346,309,217,356,346,378,339
347,309,217,356,346,378,339
348,309,217,356,346,378,339
349,309,217,356,346,378,339
350,309,217,356,346,378,339
351,309,217,356,346,378,339
352,310,217,356,346,378,339
353,310,216,356,346,378,339
354,310,216,356,346,378,339
355,311,216,356,346,378,339
356,311,216,356,346,378,339
357,312,216,356,346,378,339
358,312,216,356,346,378,339
359,313,216,356,346,378,339
360,313,216,356,346,378,339
361,313,216,356,346,378,339
362,313,215,356,346,378,339
363,314,215,356,346,378,339
364,314,215,356,346,378,339
365,313,216,356,346,378,339
366,313,216,356,346,378,339
367,313,216,356,346,378,339
368,312,216,356,346,378,339
369,312,216,356,346,378,339
370,312,216,356,346,378,339
371,311,216,356,346,377,339
372,310,216,356,346,377,339
373,310,216,356,346,377,339
374,309,216,356,346,377,339
375,309,216,356,346,377,339
376,309,216,356,346,377,339
377,308,216,356,346,377,339
378,308,216,356,346,377,339
379,308,216,356,346,377,339
380,308,216,356,346,377,339
381,308,216,356,346,377,339
382,308,216,356,346,377,339
383,308,215,356,346,377,339
384,308,215,356,346,377,339
385,308,215,356,346,377,339
386,308,215,356,346,377,339
387,309,214,356,346,377,339
388,309,214,356,346,377,339
389,310,214,356,346,377,339
390,310,214,356,346,377,339
391,311,213,356,346,377,339
392,312,213,356,346,377,339
393,312,213,356,346,377,339
394,313,213,356,346,377,339
395,313,213,356,346,377,339
396,313,213,356,346,377,339
397,313,213,356,346,377,339
398,313,213,356,346,377,339
399,313,213,356,346,377,339
400,313,213,356,346,377,339
401,313,213,356,346,377,339
402,312,213,356,346,377,339
403,312,213,356,346,377,339
404,312,213,356,346,377,339
405,311,213,356,346,377,339
406,311,214,356,346,377,339
407,310,214,356,346,377,339
408,310,214,356,346,377,339
409,310,214,356,346,377,339
410,309,214,356,346,377,339
411,309,214,356,346,377,339
412,309,214,356,346,377,339
413,309,214,356,346,377,339
414,309,214,356,346,377,339
415,309,213,356,346,377,339
416,309,213,356,346,377,339
417,309,213,356,346,377,339
418,309,213,356,346,377,339
419,309,213,356,346,377,339
420,309,213,356,346,377,339
421,310,213,356,346,377,339
422,310,212,356,346,377,339
423,310,212,356,346,377,339
424,310,212,356,346,377,339
425,310,212,356,346,377,339
426,310,212,356,346,377,339
427,310,212,356,346,377,339
428,311,212,356,346,377,339
429,311,212,356,346,377,339
430,311,212,356,346,377,339
431,311,212,356,346,377,339
432,311,212,356,346,377,339
433,311,212,356,346,377,339
434,311,212,356,346,377,339
435,311,212,356,346,377,339
436,311,212,356,346,377,339
437,311,212,356,346,377,339
438,311,212,356,346,377,339
439,311,212,356,346,377,339
440,311,212,356,346,377,339
441,310,212,356,346,377,339
442,310,212,356,346,377,339
443,310,212,356,346,377,339
444,310,212,356,346,377,339
445,310,212,356,346,377,339
446,310,212,356,346,377,339
447,310,212,356,346,377,339
448,310,212,356,346,377,339
449,310,212,356,346,377,339
450,310,212,356,346,377,339
451,310,211,356,346,377,339
452,310,211,356,346,377,339
453,310,211,356,346,377,339
454,310,211,356,346,377,339
455,310,211,356,346,377,339
456,310,211,356,346,377,339
457,310,211,356,346,377,339
458,310,211,356,346,377,339
459,310,211,356,346,377,339
460,310,210,356,346,377,339
461,310,210,356,346,377,339
462,310,210,356,346,377,339
463,310,210,356,346,377,339
464,310,210,356,346,377,339
465,310,210,356,346,377,339
466,310,210,356,346,377,339
467,310,210,356,346,377,339
468,310,210,356,346,377,339
469,310,210,356,346,377,339
470,310,210,356,346,377,339
471,310,210,356,346,377,339
472,310,210,356,346,377,339
473,310,210,356,346,377,339
474,310,210,356,346,377,339
475,309,210,356,346,377,339
476,309,210,356,346,377,339
477,309,210,356,346,377,339
478,309,210,356,346,377,339
479,309,209,356,346,377,339
480,308,209,356,346,377,339
481,308,209,356,346,377,339
482,308,209,356,346,377,339
483,308,209,356,346,377,339
484,308,209,356,346,377,339
485,308,209,356,346,377,339
486,308,209,356,346,377,339
487,308,209,356,346,377,339
488,308,208,356,346,377,339
489,308,208,356,346,377,339
490,308,208,356,346,377,339
491,308,208,356,346,377,339
492,308,208,356,346,377,339
493,308,208,356,346,377,339
494,308,208,356,346,377,339
495,308,208,356,346,377,339
496,308,208,356,346,377,339
497,308,208,356,346,377,339
498,308,207,356,346,377,339
499,308,207,356,346,377,339
500,308,207,356,346,377,339
501,308,207,356,346,377,339
502,308,207,356,346,377,339
503,308,207,356,346,377,339
504,308,207,356,346,377,339
505,308,207,356,346,377,339
506,308,207,356,346,377,339
507,308,207,356,346,377,339
508,308,207,356,346,377,339
509,308,207,356,346,377,339
510,308,207,356,346,377,339
511,308,207,356,346,377,339
512,308,207,356,346,377,339
513,308,207,356,346,377,339
514,308,207,356,346,377,339
515,308,207,356,346,377,339
516,308,207,356,346,377,339
517,308,207,356,346,377,339
518,308,207,356,346,377,339
519,308,207,356,346,377,339
520,308,207,356,346,377,339
521,308,207,356,346,377,339
522,308,207,356,346,377,339
523,308,207,356,346,377,339
524,308,207,356,346,377,339
525,308,207,356,346,377,339
526,308,207,356,346,377,339
527,308,207,356,346,377,339
528,308,207,356,346,377,339
529,308,207,356,346,377,339
530,308,207,356,346,377,339
531,308,207,356,346,377,339
532,308,207,356,346,377,339
533,308,207,356,346,377,339
534,308,207,356,346,377,339
535,308,207,356,346,377,339
536,308,207,356,346,377,339
537,307,207,356,346,377,339
538,307,207,356,346,377,339
539,307,207,356,346,377,339
540,307,207,356,346,377,339
541,307,207,356,346,377,339
542,307,207,356,346,377,339
543,307,207,356,346,377,339
544,307,207,356,346,377,339
545,307,207,356,346,377,339
546,307,207,356,346,377,339
547,307,207,356,346,377,339
548,307,207,356,346,377,339
549,307,207,356,346,377,339
550,307,207,356,346,377,339
551,307,207,356,346,377,339
552,307,207,356,346,377,339
553,307,207,356,346,377,339
554,307,207,356,346,377,339
555,307,207,356,346,377,339
556,307,207,356,346,377,339
557,307,207,356,346,377,339
558,307,207,356,346,377,339
559,307,207,356,346,377,339
560,307,207,356,346,377,339
561,307,207,356,346,377,339
562,307,207,356,346,377,339
563,306,207,356,346,377,339
564,306,207,356,346,377,339
565,306,207,356,346,377,339
566,306,207,356,346,377,339
567,306,207,356,346,377,339
568,306,207,356,346,377,339
569,306,206,356,346,377,339
570,306,206,356,346,377,339
571,306,206,356,346,377,339
572,306,206,356,346,377,339
573,306,207,357,346,377,339
574,306,207,356,346,377,339
575,306,207,357,346,377,339
576,306,207,357,346,377,339
577,306,207,357,346,377,339
578,305,207,357,346,377,339
579,305,207,357,346,377,339
580,305,207,357,346,377,339
581,305,207,357,346,377,339
582,305,207,357,346,377,339
583,305,207,357,346,377,339
584,305,207,357,346,377,339
585,305,207,357,346,377,339
586,305,207,357,346,377,339
587,305,207,357,346,377,339
588,305,207,357,346,377,339
589,304,207,357,346,377,339
590,304,207,357,346,377,339
591,304,207,357,346,377,339
592,304,207,357,346,377,339
593,304,207,357,346,377,339
594,304,207,357,346,377,339
595,304,207,357,346,377,339
596,304,207,357,346,377,339
597,304,207,357,346,377,339
598,304,207,357,346,377,339
599,304,206,357,346,377,339
600,304,206,357,346,377,339
601,304,206,357,346,377,339
602,304,206,357,346,377,339
603,304,206,357,346,377,339
604,304,206,357,346,377,339
605,304,206,357,346,377,339
606,304,206,357,346,377,339
607,304,206,357,346,377,339
608,304,206,357,346,377,339
609,304,206,357,346,377,339
610,304,206,357,346,377,339
611,304,206,357,346,377,339
612,304,206,357,346,377,339
613,304,206,357,346,377,339
614,304,206,357,346,377,339
615,304,206,357,346,377,339
616,304,206,357,346,377,339
617,303,206,357,346,377,339
618,303,206,357,346,377,339
619,303,206,357,346,377,339
620,303,206,357,346,377,339
621,302,206,357,346,377,339
622,302,206,357,346,377,340
623,302,206,357,346,377,340
624,302,206,357,346,377,340
625,302,206,357,346,377,340
626,302,206,357,346,377,340
627,302,206,357,346,377,340
628,302,206,357,346,377,340
629,302,206,357,346,377,340
630,302,206,357,346,377,340
631,302,206,357,346,377,340
632,302,206,357,346,377,340
633,302,206,357,346,377,340
634,302,206,357,346,377,340
635,302,205,357,346,377,340
636,302,205,357,346,377,340
637,302,205,357,346,377,340
638,302,205,357,346,377,340
639,302,205,357,346,377,340
640,302,205,357,346,377,340
641,302,205,357,346,377,340
642,302,205,357,346,377,340
643,302,205,357,346,377,340
644,302,205,357,346,377,340
645,302,205,357,346,377,340
646,302,205,357,346,377,340
647,302,205,357,346,377,340
648,302,205,357,346,377,340
649,302,205,357,346,377,340
650,302,205,357,346,377,340
651,302,205,357,346,377,340
652,301,205,357,346,377,340
653,301,205,357,346,377,340
654,301,205,357,346,377,340
655,301,205,357,346,377,340
656,301,205,357,346,377,340
657,301,205,357,346,377,340
658,301,205,358,346,377,340
659,301,205,358,346,377,340
660,301,205,358,346,377,340
661,301,205,358,346,377,340
662,301,205,358,346,377,340
663,302,205,358,346,377,340
664,302,205,358,346,377,340
665,302,205,358,346,377,340
666,302,205,358,346,377,340
667,302,205,358,346,377,340
668,302,205,358,346,377,340
669,302,205,358,346,377,340
670,302,205,358,346,377,340
671,302,204,358,346,377,340
672,301,204,358,346,377,340
673,301,204,358,346,377,340
674,301,204,358,346,377,340
675,301,204,358,346,377,340
676,301,204,358,346,377,340
677,301,204,358,346,377,340
678,301,204,359,346,377,340
679,301,204,359,346,377,340
680,301,204,359,346,377,340
681,301,204,359,346,377,340
682,301,204,359,346,377,340
683,301,204,359,346,377,340
684,301,204,359,346,377,340
685,301,204,359,346,377,340
686,301,204,359,346,377,340
687,301,204,359,346,377,340
688,301,204,359,346,377,340
689,301,204,359,346,377,340
690,301,204,359,346,377,340
691,301,204,359,346,377,340
692,301,204,359,346,377,340
693,301,204,359,346,377,340
694,301,204,359,346,377,340
695,301,204,359,346,377,340
696,301,204,359,346,377,340
697,301,204,359,346,377,340
698,301,204,359,346,377,340
699,301,204,359,346,377,340
700,301,204,359,346,377,340
701,301,204,359,346,377,340
702,301,204,359,346,377,340
703,301,203,359,346,377,340
704,301,203,359,346,377,340
705,301,203,359,346,377,340
706,301,203,359,346,377,340
707,301,203,359,346,377,340
708,301,203,359,346,377,340
709,302,203,359,346,377,340
710,302,203,359,346,377,340
711,301,203,359,345,377,340
712,301,203,359,345,377,340
713,301,203,359,345,377,340
714,301,203,359,345,377,340
715,301,203,359,345,377,340
716,301,203,359,345,377,340
717,301,203,359,345,377,340
718,301,203,359,345,377,340
719,301,203,359,345,377,340
720,298,188,359,345,377,340
721,297,188,359,345,377,340
722,297,189,359,345,377,340
723,297,189,359,345,377,340
724,297,189,359,345,377,340
725,297,189,359,345,377,340
726,297,189,359,345,377,340
727,297,189,359,345,377,340
728,297,189,359,345,377,340
729,297,189,359,345,377,340
730,298,189,359,345,377,340
731,298,189,359,345,377,340
732,298,189,359,345,377,340
733,298,189,359,345,377,340
734,299,189,359,345,377,340
735,299,189,359,345,377,340
736,299,189,359,345,377,340
737,299,189,359,345,377,340
738,299,189,359,345,377,340
739,299,189,359,345,377,340
740,299,189,359,345,377,340
741,299,189,359,345,377,340
742,299,189,359,345,377,340
743,299,189,359,345,377,340
744,299,189,359,345,377,340
745,299,189,359,345,377,340
746,299,189,359,345,377,340
747,299,189,359,345,377,340
748,299,189,359,345,377,340
749,299,189,359,345,377,340
750,299,189,359,345,377,340
751,299,189,359,345,377,340
752,299,189,359,345,377,340
753,299,189,359,345,377,340
754,299,189,359,345,377,340
755,299,189,359,345,377,340
756,299,189,359,345,377,340
757,299,189,359,345,377,340
758,299,189,359,345,377,340
759,299,189,359,345,377,340
760,299,189,359,345,377,340
761,298,189,359,345,377,340
762,298,189,359,345,377,340
763,298,189,359,345,377,340
764,298,189,359,345,377,340
765,298,188,359,345,377,340
766,298,188,359,345,377,340
767,298,188,359,345,377,340
768,298,188,359,345,377,340
769,297,188,359,345,377,340
770,297,188,359,345,377,340
771,297,188,359,345,377,340
772,297,188,359,345,377,340
773,297,188,359,345,377,340
774,297,188,359,345,377,340
775,297,188,359,345,377,340
776,297,188,359,345,377,340
777,297,188,359,345,377,340
778,297,188,359,345,377,340
779,297,187,359,345,377,340
780,297,187,359,345,377,340
781,297,187,359,345,377,340
782,297,187,359,345,377,340
783,298,187,359,345,377,340
784,298,187,359,345,377,340
785,298,187,359,345,377,340
786,298,187,359,345,377,340
787,298,187,359,345,377,340
788,298,187,359,345,377,340
789,298,187,359,345,377,340
790,298,187,359,345,377,340
791,298,187,359,345,377,340
792,298,187,359,345,377,340
793,298,186,359,345,377,340
794,298,186,359,345,377,340
795,298,186,359,345,377,340
796,298,186,359,345,377,340
797,298,186,359,345,377,340
798,298,186,359,345,377,340
799,298,186,359,345,377,340
800,298,186,359,345,377,340
801,298,186,359,345,377,340
802,298,186,359,345,377,340
803,298,186,359,345,377,340
804,297,186,359,345,377,340
805,297,186,359,345,377,340
806,298,186,359,345,377,340
807,298,186,359,345,377,340
808,298,185,359,345,377,340
809,298,185,359,345,377,340
810,298,185,359,345,377,340
811,298,185,359,345,377,340
812,298,185,359,345,377,340
813,298,185,359,345,377,340
814,298,185,359,345,377,340
815,298,185,359,345,377,340
816,298,185,359,345,377,340
817,298,185,359,345,377,340
818,298,184,359,345,377,340
819,298,184,359,345,377,340
820,298,184,359,345,377,340
821,298,184,359,345,377,340
822,298,184,359,345,377,340
823,297,184,359,345,377,340
824,297,184,359,345,377,340
825,297,184,359,345,377,340
826,298,184,359,345,377,340
827,298,184,359,345,377,340
828,298,184,359,345,377,340
829,298,184,359,345,377,340
830,298,184,359,345,377,340
831,298,184,359,345,377,340
832,298,184,359,345,377,340
833,297,184,359,345,377,340
834,297,183,359,345,377,340
835,297,183,359,345,377,340
836,297,183,359,345,377,340
837,297,183,359,345,377,340
838,297,183,359,345,377,340
839,297,183,359,345,377,340
840,296,183,359,345,377,340
841,296,183,359,345,377,340
842,296,183,359,345,377,340
843,296,183,359,345,377,340
844,297,183,359,345,377,340
845,297,183,359,345,377,340
846,297,183,359,345,377,340
847,297,182,359,345,377,340
848,297,182,359,345,377,340
849,297,182,359,345,377,340
850,297,182,359,345,377,340
851,298,182,359,345,377,340
852,298,182,359,345,377,340
853,298,182,359,345,377,340
854,298,182,359,345,377,340
855,298,182,359,345,377,340
856,298,182,359,345,377,340
857,298,182,359,345,377,340
858,297,182,359,345,377,340
859,297,181,359,345,377,340
860,297,182,359,345,377,340
861,297,181,359,345,377,340
862,297,181,359,345,377,340
863,297,181,359,345,377,340
864,296,181,359,345,377,340
865,296,181,359,345,377,340
866,296,181,359,345,377,340
867,296,181,359,345,377,340
868,296,181,359,345,377,340
869,296,181,359,345,377,340
870,296,181,359,345,377,340
871,296,181,359,345,377,340
872,296,181,359,345,377,340
873,296,181,359,345,377,340
874,296,181,359,345,377,340
875,296,181,359,345,377,340
876,296,181,359,345,377,340
877,296,180,359,345,377,340
878,296,180,359,345,377,340
879,296,180,359,345,377,340
880,296,180,359,345,377,340
881,297,180,359,345,377,340
882,297,180,359,345,377,340
883,297,180,359,345,377,340
884,297,180,359,345,377,340
885,298,179,359,345,377,340
886,298,179,359,345,377,340
887,298,179,359,345,377,340
888,298,179,359,345,377,340
889,298,179,359,345,377,340
890,298,179,359,345,377,340
891,298,179,359,345,377,340
892,298,178,359,345,377,340
893,298,178,359,345,377,340
894,298,178,359,345,377,340
895,297,178,359,345,377,340
896,297,178,359,345,377,340
897,297,178,359,345,377,340
898,297,177,359,345,377,340
899,297,177,359,345,377,340
900,296,177,359,345,377,340
901,296,177,359,345,377,340
902,296,177,359,345,377,340
903,296,177,359,345,377,340
904,296,177,359,345,377,340
905,296,177,359,345,377,340
906,296,177,359,345,377,340
907,295,177,359,345,377,340
908,295,177,359,345,377,340
909,295,176,359,345,377,340
910,295,176,359,345,377,340
911,295,176,359,345,377,340
912,295,176,359,345,377,340
913,295,176,359,345,377,340
914,295,176,359,345,377,340
915,295,176,359,345,377,340
916,295,176,359,345,377,340
917,295,176,359,345,377,340
918,295,175,359,345,377,340
919,296,175,359,345,377,340
920,296,175,359,345,377,340
921,296,175,359,345,377,340
922,296,175,359,345,377,340
923,296,175,359,345,377,340
924,296,175,359,345,377,340
925,296,174,359,345,377,340
926,296,174,359,345,377,340
927,296,174,359,345,377,340
928,296,174,359,345,377,340
929,296,174,359,345,377,340
930,296,174,359,345,377,340
931,296,174,359,345,377,340
932,296,174,359,345,377,340
933,296,174,359,345,377,340
934,296,174,359,345,377,340
935,296,173,359,345,377,340
936,296,173,359,345,377,340
937,296,173,359,345,377,340
938,296,173,359,345,377,340
939,296,173,359,345,377,340
940,296,173,359,345,377,340
941,296,173,359,345,377,340
942,296,173,359,345,377,340
943,296,173,359,345,377,340
944,296,173,359,345,377,340
945,296,173,359,345,377,340
946,296,173,359,345,377,340
947,296,173,359,345,377,340
948,296,173,359,345,377,340
949,296,173,359,345,377,340
950,296,173,359,345,377,340
951,296,173,359,345,377,340
952,296,172,359,345,377,340
953,296,172,359,345,377,340
954,296,172,359,345,377,340
955,296,172,359,345,377,340
956,296,172,359,345,377,340
957,296,172,359,345,377,340
958,296,172,359,345,377,340
959,296,172,359,345,377,340
960,296,172,359,345,377,340
961,296,172,359,345,377,340
962,296,172,359,345,377,340
963,296,172,359,345,377,340
964,296,171,359,345,377,340
965,296,171,359,345,377,340
966,296,171,359,345,377,340
967,296,171,359,345,377,340
968,296,171,359,345,377,340
969,296,171,359,345,377,340
970,296,171,359,345,377,340
971,296,171,359,345,377,340
972,296,171,359,345,377,340
973,296,171,359,345,377,340
974,296,171,359,345,377,340
975,296,171,359,345,377,340
976,296,171,359,345,377,340
977,296,171,359,345,377,340
978,296,171,359,345,377,340
979,296,170,359,345,377,340
980,296,170,359,345,377,340
981,296,170,359,345,377,340
982,296,170,359,345,377,340
983,296,170,359,345,377,340
984,296,170,359,345,377,340
985,296,170,359,345,377,340
986,296,170,359,345,377,340
987,296,170,359,345,377,340
988,296,170,359,345,377,340
989,296,170,359,345,377,340
990,296,170,359,345,377,340
991,296,170,359,345,377,340
